Date,CAD CASH DEPOSIT 6 MONTH (TP) - MIDDLE RATE,NOK CASH DEPOSIT 6 MONTH (TP) - MIDDLE RATE,JPY CASH DEPOSIT 6 MONTH (TP) - MIDDLE RATE,HKD CASH DEPOSIT 6 MONTH (TP) - MIDDLE RATE,EUR CASH DEPOSIT 6 MONTH (TP) - MIDDLE RATE,SAR CASH DEPOSIT 6 MONTH (TP) - MIDDLE RATE,PLN CASH DEPOSIT 6 MONTH (TP) - MIDDLE RATE,NZD CASH DEPOSIT 6 MONTH (TP) - MIDDLE RATE,DKK CASH DEPOSIT 6 MONTH (TP) - MIDDLE RATE,CHF CASH DEPOSIT 6 MONTH (TP) - MIDDLE RATE
2012-01-02,1.35,1.715,0.5,0.51,1.575,0.625,3.67,2.91,1.46,0.18
2012-01-03,1.35,1.755,0.5,0.5,1.55,0.625,3.9,2.91,1.325,0.18
2012-01-04,1.35,1.755,0.5,0.51,1.55,0.775,3.84,2.91,1.355,0.08
2012-01-05,1.35,1.685,0.5,0.52,1.55,0.775,3.83,2.91,1.39,0.08
2012-01-06,1.35,1.695,0.5,0.52,1.55,0.775,3.83,2.91,1.36,0.18
2012-01-09,1.35,1.71,0.5,0.52,1.525,0.775,3.83,2.91,1.32,0.18
2012-01-10,1.35,1.715,0.5,0.52,1.525,0.775,3.99,2.91,1.325,0.18
2012-01-11,1.35,1.74,0.5,0.51,1.475,0.775,4.12,2.91,1.255,0.19
2012-01-12,1.35,1.745,0.5,0.5,1.475,0.775,4.19,2.91,1.29,0.19
2012-01-13,1.35,1.735,0.5,0.5,1.475,0.775,4.15,2.91,1.295,0.19
2012-01-16,1.35,1.74,0.5,0.5,1.475,0.775,4.17,2.91,1.285,0.25
2012-01-17,1.345,1.765,0.5,0.5,1.475,0.775,4.21,2.905,1.295,0.25
2012-01-18,1.345,1.8,0.5,0.5,1.475,0.775,4.22,2.905,1.29,0.19
2012-01-19,1.345,1.8,0.5,0.51,1.475,0.775,4.24,2.925,1.28,0.19
2012-01-20,1.345,1.815,0.5,0.51,1.425,0.775,4.22,2.925,1.235,0.19
2012-01-23,1.35,1.835,0.5,0.51,1.425,0.775,4.22,2.93,1.245,0.19
2012-01-24,1.35,1.87,0.5,0.51,1.425,0.775,4.23,2.93,1.235,0.2
2012-01-25,1.35,1.915,0.5,0.51,1.425,0.775,4.19,2.93,1.245,0.19
2012-01-26,1.35,1.965,0.5,0.51,1.425,0.775,4.3,2.93,1.245,0.19
2012-01-27,1.345,1.91,0.5,0.51,1.425,0.775,4.29,2.93,1.235,0.19
2012-01-30,1.345,1.895,0.5,0.51,1.375,0.775,4.26,2.93,1.175,0.055
