Date,CAN,NOR,Yen,HK$,Euro,SAU,POL,NZ$,Krone,Franc
2012-01-02,,,,,,,,,,
2012-01-03,1.01117,5.93319,76.63759,7.76668,0.765561960757,3.74915,3.45048,1.27330141591,5.69035,0.93046
2012-01-04,1.01657,5.97284,76.63644,7.7684,0.774029753704,3.7492,3.51913,1.2802621977,5.75466,0.94216
2012-01-05,1.02338,6.03134,76.9975,7.7679,0.781018135241,3.7495,3.55539,1.28927452522,5.80508,0.95053
2012-01-06,1.02636,6.04356,77.01099,7.76555,0.785984327473,3.7494,3.55884,1.28890893858,5.84106,0.9547
2012-01-09,1.02862,6.03099,76.75345,7.76543,0.784547551427,3.74955,3.55192,1.28214990897,5.83081,0.95139
2012-01-10,1.0207,6.00671,76.7054,7.76475,0.78217271938,3.7496,3.52303,1.26649611186,5.81296,0.9483
2012-01-11,1.02298,6.05924,76.83099,7.7658,0.787860643209,3.7497,3.55282,1.26763598565,5.85591,0.95362
2012-01-12,1.02265,6.02237,76.67365,7.76625,0.781170662355,3.74995,3.4867,1.2693899312,5.80667,0.94465
2012-01-13,1.0267,6.09305,76.8862,7.76775,0.789091597753,3.74995,3.52092,1.27061574039,5.86464,0.95362
2012-01-16,1.02018,6.07292,76.62134,7.76815,0.788724396034,3.7498,3.50214,1.26459020954,5.86175,0.95216
2012-01-17,1.01624,6.04794,76.72649,7.76463,0.784812312136,3.74965,3.45929,1.25733972062,5.83248,0.94789
2012-01-18,1.01588,6.02291,76.71599,7.75998,0.779964277636,3.74975,3.42243,1.24879803189,5.79698,0.94224
2012-01-19,1.01088,5.95037,76.98584,7.7588,0.775368106008,3.74985,3.38213,1.25495708047,5.76306,0.93542
2012-01-20,1.01608,5.95291,77.04044,7.75998,0.773730308564,3.7499,3.37096,1.25087561293,5.75024,0.93301
2012-01-23,1.00859,5.8814,76.937,7.75895,0.766130885801,3.7497,3.31071,1.24015625969,5.69386,0.9246
2012-01-24,1.01285,5.91544,77.63499,7.7586,0.770077854871,3.7498,3.32936,1.24375015547,5.72284,0.92857
